,DateReopened,DateClosed,Property,PropertyType,Status,Jurisdiction,Article
16,22 Jun 2020,18 Mar 2020,Shingobee on the Bay,Indian Casino,Open,Minnesota,Shingobee on the Bay reopens
17,22 Jun 2020,18 Mar 2020,White Oak Casino,Indian Casino,Open,Minnesota,Leech Lake Band of Ojibwe casinos will reopen 22 June
18,20 Jun 2020,18 Mar 2020,Carefree Bingo,Bingo Hall,Open,Colorado,Carefree Bingo reopens
19,20 Jun 2020,13 Mar 2020,MGM Northfield Park,Horse Track Racino,Open,Ohio,MGM Northfield Park to reopen on 20 June
20,20 Jun 2020,16 Mar 2020,Running Aces Harness Park,Horse Track Racino,Open,Minnesota,Running Aces Harness Park returns with limited fan attendance
21,19 Jun 2020,17 Mar 2020,220th Street Highstakes Bingo,Bingo Hall,Open,Washington,220th Street Highstakes Bingo reopens
22,19 Jun 2020,17 Mar 2020,Alameda County Fairgrounds,Horse Track,Racing without Spectators,California,Live racing returns to Alameda County Fairgrounds
23,19 Jun 2020,16 Mar 2020,B & S Laundry,Indian Casino,Open,Montana,
24,19 Jun 2020,16 Mar 2020,Batavia Downs Gaming & Hotel,Horse Track Racino,Open,New York,Batavia Downs Gaming & Hotel simulcast center is reopening
25,19 Jun 2020,14 Mar 2020,Belterra Park Gaming & Entertainment Center,Horse Track Racino,Open,Ohio,Boyd Gaming to reopen three more properties
26,19 Jun 2020,16 Mar 2020,Bingo World,Bingo Hall,Open,Maryland,Bingo World reopening update
27,19 Jun 2020,23 Mar 2020,Bingo World,Bingo Hall,Open,Colorado,Bingo World reopens
28,19 Jun 2020,17 Mar 2020,Boomtown Casino,Commercial Casino,Open,Alberta,Boomtown Casino is reopening
29,19 Jun 2020,17 Mar 2020,Buzz Inn Steakhouse and Casino,Card Room,Open,Washington,Buzz Inn Steakhouse and Casino reopening
30,19 Jun 2020,17 Mar 2020,Caribbean Cardroom,Card Room,Open,Washington,
31,19 Jun 2020,17 Mar 2020,Casino Caribbean - Kirkland,Card Room,Open,Washington,
32,19 Jun 2020,17 Mar 2020,Club Hollywood Casino,Card Room,Open,Washington,Club Hollywood Casino reopens
33,19 Jun 2020,14 Mar 2020,Commerce Casino,Card Room,Open,California,Commerce Casino to reopen on Friday
34,19 Jun 2020,17 Mar 2020,Deerfoot Inn & Casino,Commercial Casino,Open,Alberta,Deerfoot Inn & Casino is reopening
35,19 Jun 2020,17 Mar 2020,Elbow River Casino,Commercial Casino,Open,Alberta,Elbow River Casino is reopening
36,19 Jun 2020,13 Mar 2020,Eldorado Gaming Scioto Downs,Horse Track Racino,Open,Ohio,Eldorado Gaming Scioto Downs reopens today
37,19 Jun 2020,17 Mar 2020,Evergreen Park,Horse Track Racino,Open,Alberta,Evergreen Park's casino is reopening
38,19 Jun 2020,17 Mar 2020,Fortune Casino - Renton,Card Room,Open,Washington,Fortune Casino - Renton reopening
39,19 Jun 2020,16 Mar 2020,Git-N-Go,Indian Casino,Open,Montana,
40,19 Jun 2020,18 Mar 2020,Golden Eagle Bingo,Indian Casino,Open,Minnesota,Shooting Star casinos announce tentative reopening date
41,19 Jun 2020,17 Mar 2020,Golden Eagle Casino,Indian Casino,Open,Kansas,Golden Eagle Casino to reopen on 19 June
42,19 Jun 2020,17 Mar 2020,Great Northern Casino,Commercial Casino,Open,Alberta,Great Northern Casino is reopening
43,19 Jun 2020,13 Mar 2020,Hard Rock Casino - Cincinnati,Commercial Casino,Open,Ohio,Ohio casinos and racinos to reopen on 19 June
44,19 Jun 2020,17 Mar 2020,Hawk's Prairie Casino & Restaurant,Card Room,Open,Washington,Hawk's Prairie Casino & Restaurant reopen
45,19 Jun 2020,13 Mar 2020,Hollywood Casino - Columbus,Commercial Casino,Open,Ohio,70 percent of Penn National Gaming properties have reopened
46,19 Jun 2020,16 Mar 2020,Hollywood Casino - Perryville,Commercial Casino,Open,Maryland,Hollywood Casino - Perryville to reopen on 19 June
47,19 Jun 2020,13 Mar 2020,Hollywood Casino - Toledo,Commercial Casino,Open,Ohio,70 percent of Penn National Gaming properties have reopened
48,19 Jun 2020,17 Mar 2020,Hollywood Casino at Penn National Race Course,Horse Track Racino,Open,Pennsylvania,70 percent of Penn National Gaming properties have reopened
49,19 Jun 2020,13 Mar 2020,Hollywood Gaming at Dayton Raceway,Horse Track Racino,Open,Ohio,70 percent of Penn National Gaming properties have reopened
50,19 Jun 2020,13 Mar 2020,Hollywood Gaming at Mahoning Valley Race Course,Horse Track Racino,Open,Ohio,70 percent of Penn National Gaming properties have reopened
51,19 Jun 2020,14 Mar 2020,Hustler Casino,Card Room,Open,California,HUSTLER Casino reopens
52,19 Jun 2020,13 Mar 2020,Jack Cleveland Casino,Commercial Casino,Open,Ohio,JACK Entertainment is reopening two Ohio casinos tomorrow
53,19 Jun 2020,13 Mar 2020,JACK Thistledown Racino,Horse Track Racino,Open,Ohio,JACK Entertainment is reopening two Ohio casinos tomorrow
54,19 Jun 2020,16 Mar 2020,Live! Casino & Hotel,Commercial Casino,Open,Maryland,Live! Casino and Hotel announces reopening plan
55,19 Jun 2020,13 Mar 2020,Miami Valley Gaming,Horse Track Racino,Open,Ohio,Churchill Downs to reopen properties in five states
56,19 Jun 2020,16 Mar 2020,Ocean Downs Casino and Racetrack,Horse Track Racino,Open,Maryland,Churchill Downs to reopen properties in five states
57,19 Jun 2020,17 Mar 2020,Papa's Casino Restaurant and Lounge,Card Room,Open,Washington,Papa's Casino Restaurant and Lounge reopening
58,19 Jun 2020,16 Mar 2020,Rocky Gap Casino Resort,Commercial Casino,Open,Maryland,Rocky Gap Casino Resort will reopen 19 June
59,19 Jun 2020,17 Mar 2020,Rocky Mountain Turf Club and Bully's Sport & Entertainment Centre,Horse Track Racino,Open,Alberta,Rocky Mountain Turf Club and Bully's Sport & Entertainment Centre reopening update
60,19 Jun 2020,17 Mar 2020,Roxy's Casino,Card Room,Open,Washington,Roxy's Casino reopens
61,19 Jun 2020,18 Mar 2020,Shooting Star Casino - Bagley,Indian Casino,Open,Minnesota,Shooting Star casinos announce tentative reopening date
62,19 Jun 2020,18 Mar 2020,"Shooting Star Casino, Hotel and Entertainment",Indian Casino,Open,Minnesota,Shooting Star casinos announce tentative reopening date
63,19 Jun 2020,16 Mar 2020,Sipekneâ€™katik Entertainment,Indian Casino,Open,Nova Scotia,
64,19 Jun 2020,19 Mar 2020,The Bicycle Hotel & Casino,Card Room,Open,California,The Bicycle Hotel and Casino to reopen tomorrow
65,19 Jun 2020,17 Mar 2020,The Brook,Card Room,Open,New Hampshire,The Brook Casino in New Hampshire will reopen on Friday
66,19 Jun 2020,16 Mar 2020,TJ's Quikstop,Indian Casino,Open,Montana,
67,19 Jun 2020,16 Mar 2020,Tribal Express Casino,Indian Casino,Open,Montana,
68,19 Jun 2020,16 Mar 2020,Wolf Den Gaming Centre,Indian Casino,Open,Nova Scotia,Wolf Den Gaming Centre reopens
69,18 Jun 2020,18 Mar 2020,Berry's Bar,Indian Casino,Open,Minnesota,
70,18 Jun 2020,18 Mar 2020,Callaway Liquors,Indian Casino,Open,Minnesota,
71,18 Jun 2020,18 Mar 2020,Cedar Crest Resort,Indian Casino,Open,Minnesota,
72,18 Jun 2020,18 Mar 2020,Elbow Lake Store,Indian Casino,Open,Minnesota,More Minnesota gaming properties reopen
73,18 Jun 2020,1 Apr 2020,First American Mart,Indian Casino,Open,South Dakota,
74,18 Jun 2020,17 Mar 2020,Graton Resort & Casino,Indian Casino,Open,California,Graton Resort and Casino reopening on 18 June
75,18 Jun 2020,16 Mar 2020,Gulfstream Park,Horse Track Racino,Open,Florida,Gulfstream Park Casino to reopen on 18 June
76,18 Jun 2020,18 Mar 2020,Hilltop Supper Club,Indian Casino,Open,Minnesota,More Minnesota gaming properties reopen
77,18 Jun 2020,18 Mar 2020,Ice Cracking Lodge,Indian Casino,Open,Minnesota,More Minnesota gaming properties reopen
78,18 Jun 2020,18 Mar 2020,Indian Head Casino,Indian Casino,Open,Oregon,Indian Head Casino will reopen on Thursday
79,18 Jun 2020,18 Mar 2020,Lean To,Indian Casino,Open,Minnesota,
80,18 Jun 2020,18 Mar 2020,M & W Foods,Indian Casino,Open,Minnesota,
81,18 Jun 2020,18 Mar 2020,M & W Service Center,Indian Casino,Open,Minnesota,More Minnesota gaming properties reopen
82,18 Jun 2020,18 Mar 2020,Naytahwaush Village Store,Indian Casino,Open,Minnesota,
83,18 Jun 2020,18 Mar 2020,Ogema Municipal Liquor Store,Indian Casino,Open,Minnesota,
84,18 Jun 2020,18 Mar 2020,Pappy's Cafe and Pizzeria,Indian Casino,Open,Minnesota,Pappy's Cafe and Pizzeria gaming resumes
85,18 Jun 2020,18 Mar 2020,Paris Las Vegas,Commercial Casino,Open,Nevada,Paris Las Vegas to reopen doors on 18 June
86,18 Jun 2020,18 Mar 2020,Ruffed Grouse Roadhouse,Indian Casino,Open,Minnesota,
87,18 Jun 2020,16 Mar 2020,Saratoga Casino Hotel,Horse Track Racino,Racing without Spectators,New York,Saratoga Casino Hotel to welcome back harness racing
88,18 Jun 2020,16 Mar 2020,Seneca Gaming and Entertainment - Irving,Indian Casino,Open,New York,Seneca Nation announces reopening dates for gaming properties
89,18 Jun 2020,16 Mar 2020,Seneca Gaming and Entertainment - Oil Spring,Indian Casino,Open,New York,Seneca Nation announces reopening dates for gaming properties
90,18 Jun 2020,16 Mar 2020,Seneca Gaming and Entertainment - Salamanca,Indian Casino,Open,New York,Seneca Nation announces reopening dates for gaming properties
91,18 Jun 2020,16 Mar 2020,Seneca Niagara Resort & Casino,Indian Casino,Open,New York,Seneca Nation announces reopening dates for gaming properties
92,18 Jun 2020,18 Mar 2020,Stump's Bar and Grill,Indian Casino,Open,Minnesota,
93,18 Jun 2020,19 Mar 2020,VFW 6287 Bingo,Bingo Hall,Open,Florida,
94,18 Jun 2020,18 Mar 2020,Westgate Las Vegas Resort & Casino,Commercial Casino,Open,Nevada,Westgate Las Vegas planning to reopen in mid-June
95,18 Jun 2020,17 Mar 2020,Wild Rice Lounge,Indian Casino,Open,Minnesota,Wild Rice Lounge reopening
96,17 Jun 2020,17 Mar 2020,Ameristar Black Hawk,Commercial Casino,Open,Colorado,70 percent of Penn National Gaming properties have reopened
97,17 Jun 2020,17 Mar 2020,Bull Durham Saloon and Casino,Commercial Casino,Open,Colorado,Colorado welcomes more casinos beginning to reopen
98,17 Jun 2020,17 Mar 2020,Camrose Resort Casino,Commercial Casino,Open,Alberta,Camrose Resort Casino reopens
99,17 Jun 2020,17 Mar 2020,Century Casino & Hotel,Commercial Casino,Open,Colorado,Colorado welcomes more casinos beginning to reopen
100,17 Jun 2020,17 Mar 2020,Copper Coulee Casino,Commercial Casino,Open,Alberta,Reopening of Copper Coulee Casino
101,17 Jun 2020,17 Mar 2020,Dostal Alley Brewpub & Casino,Commercial Casino,Open,Colorado,Colorado welcomes more casinos beginning to reopen
102,17 Jun 2020,17 Mar 2020,Easy Street,Commercial Casino,Open,Colorado,Easy Street/Famous Bonanza reopening
103,17 Jun 2020,17 Mar 2020,Famous Bonanza,Commercial Casino,Open,Colorado,Colorado welcomes more casinos beginning to reopen
104,17 Jun 2020,17 Mar 2020,Golden Gates Casino,Commercial Casino,Open,Colorado,Twin River to resume operations at all properties
105,17 Jun 2020,17 Mar 2020,Golden Gulch Casino,Commercial Casino,Open,Colorado,Twin River to resume operations at all properties
106,17 Jun 2020,17 Mar 2020,Golden Mardi Gras Casino,Commercial Casino,Open,Colorado,Twin River to resume operations at all properties
107,17 Jun 2020,17 Mar 2020,Grand Z Casino Hotel,Commercial Casino,Open,Colorado,Colorado welcomes more casinos beginning to reopen
108,17 Jun 2020,17 Mar 2020,Isle Casino Hotel - Black Hawk,Commercial Casino,Open,Colorado,Isle Casino Hotel - Black Hawk reopens
109,17 Jun 2020,17 Mar 2020,Lady Luck Casino,Commercial Casino,Open,Colorado,Lady Luck Casino reopens
110,17 Jun 2020,22 Mar 2020,Lake of the Torches Bingo,Indian Casino,Open,Wisconsin,Lake of the Torches Resort Casino to reopen on 17 June
111,17 Jun 2020,22 Mar 2020,Lake of the Torches Resort Casino,Indian Casino,Open,Wisconsin,Lake of the Torches Resort Casino to reopen on 17 June
112,17 Jun 2020,20 Mar 2020,Lucky Star Casino - Canton,Indian Casino,Open,Oklahoma,Lucky Star Casino - Canton updates its reopening status
113,17 Jun 2020,17 Mar 2020,Monarch Casino Black Hawk,Commercial Casino,Open,Colorado,Colorado welcomes more casinos beginning to reopen
114,17 Jun 2020,17 Mar 2020,Mr. Z's Casino,Card Room,Open,Washington,Mr. Z's Casino reopening
115,17 Jun 2020,23 Mar 2020,Paradise Casino Arizona,Indian Casino,Open,Arizona,Paradise Casino Arizona reopens
116,17 Jun 2020,23 Mar 2020,Pit River Casino,Indian Casino,Open,California,Pit River Casino to reopen on 17 June
117,17 Jun 2020,17 Mar 2020,Red Dolly Casino,Commercial Casino,Open,Colorado,Red Dolly Casino reopens
118,17 Jun 2020,17 Mar 2020,Saratoga Casino Black Hawk,Commercial Casino,Open,Colorado,Colorado welcomes more casinos beginning to reopen
119,17 Jun 2020,17 Mar 2020,Sasquatch Casino,Commercial Casino,Open,Colorado,Colorado welcomes more casinos beginning to reopen
120,17 Jun 2020,17 Mar 2020,The Gilpin Casino,Commercial Casino,Open,Colorado,Gilpin County casinos allowed to reopen starting 17 June
121,17 Jun 2020,17 Mar 2020,The Lodge Casino at Black Hawk,Commercial Casino,Open,Colorado,The Lodge Casino at Black Hawk reopens
122,17 Jun 2020,17 Mar 2020,Wild Card Saloon & Casino,Commercial Casino,Open,Colorado,Colorado welcomes more casinos beginning to reopen
123,17 Jun 2020,17 Mar 2020,Z Casino,Commercial Casino,Open,Colorado,Colorado welcomes more casinos beginning to reopen
124,16 Jun 2020,18 Mar 2020,Boonies Restaurant & Saloon,Commercial Casino,Open,Nevada,Boonies Restaurant & Saloon reopens
125,16 Jun 2020,17 Mar 2020,Chips Casino Lakewood,Card Room,Open,Washington,Chips Casino Lakewood reopens
126,16 Jun 2020,17 Mar 2020,Clearwater Saloon & Casino,Card Room,Open,Washington,Clearwater Saloon & Casino reopens
127,16 Jun 2020,16 Mar 2020,Glooscap Corner,Indian Casino,Open,Nova Scotia,Glooscap Corner gaming reopens
128,16 Jun 2020,17 Mar 2020,Ho-Chunk Gaming Nekoosa,Indian Casino,Open,Wisconsin,Ho-Chunk Gaming Nekoosa to reopen on 16 June
129,16 Jun 2020,18 Mar 2020,Hollywood Casino - St. Louis,Commercial Casino,Open,Missouri,Hollywood Casino - St. Louis reopens
130,16 Jun 2020,17 Mar 2020,Lilac Lanes and Casino,Card Room,Open,Washington,Lilac Lanes and Casino reopens
131,16 Jun 2020,17 Mar 2020,Pure Casino Lethbridge,Commercial Casino,Open,Alberta,Pure Casino Lethbridge reopens
132,16 Jun 2020,18 Mar 2020,River City Casino & Hotel,Commercial Casino,Open,Missouri,River City Casino and Resort to reopen on 16 June
133,16 Jun 2020,18 Mar 2020,San Pablo Lytton Casino,Indian Casino,Open,California,San Pablo Lytton Casino to reopen on Tuesday
134,16 Jun 2020,20 Mar 2020,Seminole Casino Brighton,Indian Casino,Open,Florida,Seminole Casino Brighton to reopen next week
135,16 Jun 2020,17 Mar 2020,Stoney Nakoda Resort and Casino,Indian Casino,Open,Alberta,Stoney Nakoda Resort and Casino reopens
136,16 Jun 2020,15 Mar 2020,Wulastukw Lounge,Indian Casino,Open,New Brunswick,
137,15 Jun 2020,16 Mar 2020,Ameristar East Chicago,Commercial Casino,Open,Indiana,70 percent of Penn National Gaming properties have reopened
138,15 Jun 2020,15 Mar 2020,Augustine Casino,Indian Casino,Open,California,Augustine Casino to reopen on Monday
139,15 Jun 2020,16 Mar 2020,Belterra Casino Resort,Commercial Casino,Open,Indiana,Boyd Gaming to reopen three more properties
140,15 Jun 2020,17 Mar 2020,Billy's Casino,Commercial Casino,Open,Colorado,Billy's Casinos reopening
141,15 Jun 2020,18 Mar 2020,Black Bear Casino Resort,Indian Casino,Open,Minnesota,Black Bear Casino Resort will reopen on 15 June
142,15 Jun 2020,17 Mar 2020,Blackbird Bend Casino,Indian Casino,Open,Iowa,Blackbird Bend Casino delays reopening to 15 June
143,15 Jun 2020,16 Mar 2020,"Blue Chip Casino, Hotel & Spa",Commercial Casino,Open,Indiana,Blue Chip Casino Hotel and Spa will reopen doors on 15 June
144,15 Jun 2020,17 Mar 2020,Brass Ass Casino,Commercial Casino,Open,Colorado,The Triple Crown Casinos in Colorado will reopen Monday
145,15 Jun 2020,17 Mar 2020,Bronco Billy's Casino,Commercial Casino,Open,Colorado,Six more casinos in Cripple Creek announce reopening plans
146,15 Jun 2020,17 Mar 2020,Buffalo Billy's Casino,Commercial Casino,Open,Colorado,Billy's Casinos reopening
147,15 Jun 2020,16 Mar 2020,Caesars Southern Indiana,Commercial Casino,Open,Indiana,Caesars Southern Indiana to open on Monday
148,15 Jun 2020,17 Mar 2020,Capitol Bingo,Bingo Hall,Open,Texas,Capitol Bingo reopening
149,15 Jun 2020,17 Mar 2020,Century Casino Cripple Creek,Commercial Casino,Open,Colorado,Cripple Creek casinos to start reopening on 15 June
150,15 Jun 2020,17 Mar 2020,Cherokee Casino & Hotel West Siloam Springs,Indian Casino,Open,Oklahoma,Cherokee Casino & Hotel West Siloam Springs reopening
151,15 Jun 2020,17 Mar 2020,Cherokee Casino Ramona,Indian Casino,Open,Oklahoma,Cherokee Casino Ramona/Outpost reopening
152,15 Jun 2020,17 Mar 2020,Cherokee Nation Outpost Tobacco Shop,Indian Casino,Open,Oklahoma,Cherokee Casino Ramona/Outpost reopening
153,15 Jun 2020,17 Mar 2020,Colorado Grande Casino,Commercial Casino,Open,Colorado,Six more casinos in Cripple Creek announce reopening plans
154,15 Jun 2020,19 Mar 2020,Comanche Nation Travel Plaza,Indian Casino,Open,Oklahoma,
155,15 Jun 2020,19 Mar 2020,Comanche Spur Casino,Indian Casino,Open,Oklahoma,Comanche Spur Casino reopens
156,15 Jun 2020,19 Mar 2020,Comanche Star Casino,Indian Casino,Open,Oklahoma,Comanche Star Casino reopens
157,15 Jun 2020,17 Mar 2020,Cowboys Casino,Commercial Casino,Open,Alberta,Cowboys Casino reopens
158,15 Jun 2020,17 Mar 2020,Double Eagle Hotel & Casino,Commercial Casino,Open,Colorado,Six more casinos in Cripple Creek announce reopening plans
159,15 Jun 2020,18 Mar 2020,Fond-du-Luth Casino,Indian Casino,Open,Minnesota,Fond-du-Luth Casino sets 15 June reopening date
160,15 Jun 2020,17 Mar 2020,Four Winds Dowagiac,Indian Casino,Open,Michigan,Four Winds Casinos to reopen on 15 June
161,15 Jun 2020,17 Mar 2020,Four Winds Hartford,Indian Casino,Open,Michigan,Four Winds Casinos to reopen on 15 June
162,15 Jun 2020,17 Mar 2020,Four Winds New Buffalo,Indian Casino,Open,Michigan,Four Winds Casinos to reopen on 15 June
163,15 Jun 2020,17 Mar 2020,Four Winds South Bend,Indian Casino,Open,Indiana,Four Winds Casinos to reopen on 15 June
164,15 Jun 2020,16 Mar 2020,French Lick Resort,Commercial Casino,Open,Indiana,French Lick Resort reopens
165,15 Jun 2020,16 Mar 2020,Gas Bar,Indian Casino,Open,Nova Scotia,
166,15 Jun 2020,20 Mar 2020,Gold Star Bingo,Bingo Hall,Open,Texas,Gold Star Bingo reopening soon
167,15 Jun 2020,16 Mar 2020,Harrah's Hoosier Park Racing & Casino,Horse Track Racino,Open,Indiana,Two more Caesars properties in Indiana will reopen Monday
168,15 Jun 2020,19 Mar 2020,Hidden Oaks Casino,Indian Casino,Open,California,
169,15 Jun 2020,16 Mar 2020,Hollywood Casino - Lawrenceburg,Commercial Casino,Open,Indiana,70 percent of Penn National Gaming properties have reopened
170,15 Jun 2020,16 Mar 2020,Horseshoe Casino - Hammond,Commercial Casino,Open,Indiana,Horseshoe Casino - Hammond reopens
171,15 Jun 2020,16 Mar 2020,Indiana Grand Racing & Casino,Horse Track Racino,Open,Indiana,Two more Caesars properties in Indiana will reopen Monday
172,15 Jun 2020,17 Mar 2020,Isleta Resort & Casino,Indian Casino,Open,New Mexico,Isleta Resort and Casino is now reopen
173,15 Jun 2020,17 Mar 2020,Johnny Nolon's Casino,Commercial Casino,Open,Colorado,Six more casinos in Cripple Creek announce reopening plans
174,15 Jun 2020,17 Mar 2020,Konawa Rivermist Casino,Indian Casino,Open,Oklahoma,Oklahoma Indian Gaming Association announces casino closure extension and re-open dates
175,15 Jun 2020,19 Mar 2020,"Konocti Vista Casino Resort, Marina & RV Park",Indian Casino,Open,California,Konocti Vista Casino Resort to reopen on 15 June
176,15 Jun 2020,16 Mar 2020,Majestic Star Casino,Commercial Casino,Open,Indiana,Majestic Casinos in Indiana will reopen on Monday
177,15 Jun 2020,16 Mar 2020,Majestic Star II,Commercial Casino,Open,Indiana,Majestic Casinos in Indiana will reopen on Monday
178,15 Jun 2020,17 Mar 2020,McGills Hotel & Casino,Commercial Casino,Open,Colorado,The Triple Crown Casinos in Colorado will reopen Monday
179,15 Jun 2020,17 Mar 2020,Midnight Rose Hotel & Casino,Commercial Casino,Open,Colorado,The Triple Crown Casinos in Colorado will reopen Monday
180,15 Jun 2020,19 Mar 2020,Ohkay Hotel Casino,Indian Casino,Open,New Mexico,Ohkay Hotel Casino reopens on Monday
181,15 Jun 2020,17 Mar 2020,Outpost Casino,Indian Casino,Open,Oklahoma,Outpost Casino reopens on Monday
182,15 Jun 2020,16 Mar 2020,Oyster Bay Bar & Casino,Commercial Casino,Open,South Dakota,Deadwood casinos begin to reopen this week
183,15 Jun 2020,18 Mar 2020,Prairie Band Casino & Resort,Indian Casino,Open,Kansas,Prairie Band Casino and Resort to reopen 15 June
184,15 Jun 2020,18 Mar 2020,Prairie Band One Stop,Indian Casino,Open,Kansas,Prairie Band Casino/One Stop reopening
185,15 Jun 2020,17 Mar 2020,Prairie Meadows Racetrack and Casino,Horse Track Racino,Open,Iowa,Prairie Meadows Racetrack and Casino reopens
186,15 Jun 2020,17 Mar 2020,Pure Casino Calgary,Commercial Casino,Open,Alberta,Pure Casino Calgary reopens
187,15 Jun 2020,17 Mar 2020,Pure Casino Yellowhead,Commercial Casino,Open,Alberta,Pure Casino Yellowhead reopens
188,15 Jun 2020,16 Mar 2020,Rising Star Casino Resort,Commercial Casino,Open,Indiana,Rising Star Casino Resort reopens
189,15 Jun 2020,17 Mar 2020,Seminole Nation Casino,Indian Casino,Open,Oklahoma,Oklahoma Indian Gaming Association announces casino closure extension and re-open dates
190,15 Jun 2020,17 Mar 2020,Taos Mountain Casino,Indian Casino,Open,New Mexico,Taos Mountain Casino is now open again
191,15 Jun 2020,16 Mar 2020,The Gaming Room,Indian Casino,Open,Nova Scotia,
192,15 Jun 2020,16 Mar 2020,Tropicana Evansville,Commercial Casino,Open,Indiana,Tropicana Evansville set to reopen on 15 June
193,15 Jun 2020,17 Mar 2020,Wewoka Trading Post Casino,Indian Casino,Open,Oklahoma,Oklahoma Indian Gaming Association announces casino closure extension and re-open dates
194,15 Jun 2020,17 Mar 2020,Wildwood Casino,Commercial Casino,Open,Colorado,Six more casinos in Cripple Creek announce reopening plans
195,14 Jun 2020,16 Mar 2020,Tampa Bay Downs,Horse Track Racino,Open,Florida,Tampa Bay Downs will reopen its poker room
196,13 Jun 2020,17 Mar 2020,Blue Devils Bingo - Concord,Bingo Hall,Open,California,Blue Devils Bingo - Concord reopens with Drive-In Bingo
197,13 Jun 2020,17 Mar 2020,Century Casino Calgary,Commercial Casino,Open,Alberta,"Century Casinos successfully reopened all five of its casinos in Alberta, Canada"
198,13 Jun 2020,17 Mar 2020,Century Casino Edmonton,Commercial Casino,Open,Alberta,"Century Casinos successfully reopened all five of its casinos in Alberta, Canada"
199,13 Jun 2020,17 Mar 2020,Century Casino St. Albert,Commercial Casino,Open,Alberta,"Century Casinos successfully reopened all five of its casinos in Alberta, Canada"
200,13 Jun 2020,17 Mar 2020,Century Downs Racetrack and Casino,Commercial Casino,Open,Alberta,"Century Casinos successfully reopened all five of its casinos in Alberta, Canada"
201,13 Jun 2020,17 Mar 2020,Century Mile Racetrack and Casino,Commercial Casino,Open,Alberta,"Century Casinos successfully reopened all five of its casinos in Alberta, Canada"
202,13 Jun 2020,17 Mar 2020,Fair Grounds Race Course & Slots,Horse Track Racino,Open,Louisiana,Fair Grounds Race Course and Slots in New Orleans reopens Saturday
203,13 Jun 2020,17 Mar 2020,Harrah's New Orleans Casino,Commercial Casino,Open,Louisiana,Harrah's New Orleans Casino to reopen on 13 June
204,13 Jun 2020,18 Mar 2020,Isle Casino - Pompano,Horse Track Racino,Open,Florida,Isle Casino Pompano will resume operations on Saturday
205,13 Jun 2020,16 Mar 2020,Majestic Hall,Bingo Hall,Open,Illinois,Majestic Hall bingo returns
206,13 Jun 2020,21 Mar 2020,Northside Downs,Horse Track,Open,Nova Scotia,Northside Downs begins racing season with spectators
207,13 Jun 2020,20 Mar 2020,Viejas Bingo,Indian Casino,Open,California,Viejas Bingo and Slot Parlor to return on 13 June
208,12 Jun 2020,20 Mar 2020,Bay Mills Resort & Casino,Indian Casino,Open,Michigan,Bay Mills Casinos reopens
209,12 Jun 2020,16 Mar 2020,Calder Casino and Gulfstream Park West,Horse Track Racino,Open,Florida,Calder Casino reopens
210,12 Jun 2020,17 Mar 2020,Capital OTB - Amsterdam,Off-Track Betting Facility,Open,New York,Captial Off-Track Betting reopens several locations
211,12 Jun 2020,17 Mar 2020,Capital OTB - Bellevue,Off-Track Betting Facility,Open,New York,Captial Off-Track Betting reopens several locations
